DATE,SP500,A939RX0Q048SBEA,CPIAUCSL,JTS1000JOL,T10Y2Y,T10Y3M,T6MFF,TB3SMFFM,VIXCLS,CAPE,TR_CAPE
1952-01-01,23.799999,0.00658646313243949,-0.000755857934701343,,,,,,,,
1952-01-02,23.799999,,,,,,,,,,
1952-01-03,23.879999,,,,,,,,,,
1952-01-04,23.92,,,,,,,,,,
1952-01-07,23.91,,,,,,,,,,
1952-01-08,23.82,,,,,,,,,,
1952-01-09,23.74,,,,,,,,,,
1952-01-10,23.860001,,,,,,,,,,
1952-01-11,23.98,,,,,,,,,,
1952-01-14,24.16,,,,,,,,,,
1952-01-15,24.059999,,,,,,,,,,
1952-01-16,24.09,,,,,,,,,,
1952-01-17,24.200001,,,,,,,,,,
1952-01-18,24.25,,,,,,,,,,
1952-01-21,24.459999,,,,,,,,,,
1952-01-22,24.66,,,,,,,,,,
1952-01-23,24.540001,,,,,,,,,,
1952-01-24,24.559999,,,,,,,,,,
1952-01-25,24.549999,,,,,,,,,,
1952-01-28,24.610001,,,,,,,,,,
1952-01-29,24.57,,,,,,,,,,
1952-01-30,24.23,,,,,,,,,,
1952-01-31,24.139999,,,,,,,,,12.5270597481723,16.0224500865219
1952-02-01,24.299999,,-0.00151343199526766,,,,,,,,
1952-02-04,24.120001,,,,,,,,,,
1952-02-05,24.110001,,,,,,,,,,
1952-02-06,24.18,,,,,,,,,,
1952-02-07,24.110001,,,,,,,,,,
1952-02-08,24.24,,,,,,,,,,
1952-02-11,24.110001,,,,,,,,,,
1952-02-13,23.92,,,,,,,,,,
1952-02-14,23.870001,,,,,,,,,,
1952-02-15,23.860001,,,,,,,,,,
1952-02-18,23.74,,,,,,,,,,
1952-02-19,23.360001,,,,,,,,,,
1952-02-20,23.09,,,,,,,,,,
1952-02-21,23.16,,,,,,,,,,
1952-02-25,23.23,,,,,,,,,,
1952-02-26,23.15,,,,,,,,,,
1952-02-27,23.18,,,,,,,,,,
1952-02-28,23.290001,,,,,,,,,,
1952-02-29,23.26,,,,,,,,,12.3641193504611,15.8110363511587
